Title,Certificate,Duration,Genre,Rating,Description, Stars,Votes,Year
Supergirl,TV-PG,43 min,"Action, Adventure, Drama",6.2,The adventures of Superman's cousin in her own superhero career.,"['Melissa Benoist, ', 'Chyler Leigh, ', 'David Harewood, ', 'Katie McGrath']",123705,2021
Supernatural,TV-14,44 min,"Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","['Jared Padalecki, ', 'Jensen Ackles, ', 'Jim Beaver, ', 'Misha Collins']",439597,2020
Superwog,TV-MA,30 min,Comedy,7.4,"A half-hour comedy following the dysfunctional Superwog family. While their parents deal with a marital breakdown, Superwog and best friend Johnny must learn to deal with adulthood and independent life.","['Theodore Saidden, ', 'Nathan Saidden, ', 'Joseph Green, ', 'Diamond Lust']",986,2017
Surviving Death,TV-MA,50 min,"Documentary, Reality-TV",6.2,"Explores questions that have been contemplated throughout time: What does it mean to die, and is death the end of our existence? Weaving together innovative new research with firsthand accounts from those who’ve been close to death.","['Mary Neal, ', 'Bruce Greyson, ', 'Jim Tucker, ', 'Peter Fenwick']",2077,2021
Surviving Summer,TV-PG,30 min,"Drama, Family",6.5,"Rebellious Brooklyn teen Summer Torres is sent to live with family friends in the tiny town of Shorehaven on the Great Ocean Road, Victoria, AUS. Despite her best efforts, Summer falls in love with the town, the people and the surf.","['Kai Lewins, ', 'Sky Katz, ', 'Lilliana Bowrey, ', 'João Gabriel Marinho']",1761,2022
Survivor,PG-13,96 min,"Action, Crime, Thriller",5.6,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York City, but is forced to go on the run when she is framed for crimes she did not commit.","['James McTeigue', '| ', '    Stars:', 'Milla Jovovich, ', 'Pierce Brosnan, ', 'Dylan McDermott, ', 'Paddy Wallace']",34029,2015
Swallow,R,94 min,"Drama, Thriller",6.5,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.","['Carlo Mirabella-Davis', '| ', '    Stars:', 'Haley Bennett, ', 'Austin Stowell, ', ""Denis O'Hare, "", 'Elizabeth Marvel']",23642,2019
Swedish Dicks,TV-MA,30 min,"Comedy, Crime",6.7,Two unlicensed Swedish private investigators try to make a living in Los Angeles.,"['Peter Stormare, ', 'Johan Glans, ', 'Vivian Bang, ', 'Felisha Cooper']",3383,2018
Sweet Home,TV-MA,52 min,"Drama, Fantasy, Horror",7.3,"Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what is left of the human race before it's too late.","['Song Kang, ', 'Lee Jin-Wook, ', 'Lee Si-young, ', 'Lee Do-Hyun']",21055,2020
Swiped,TV-14,93 min,"Comedy, Romance",3.1,"James, a college freshman and computer genius, is enlisted by his womanizing roommate, Lance, to code the ultimate hook-up app. But when James discovers that his divorced mother is using the app, unexpected consequences ensue.","['Ann Deborah Fishman', '| ', '    Stars:', 'Kendall Ryan Sanders, ', 'Noah Centineo, ', 'Nathan Gamble, ', 'Christian Hutcherson']",14400,2018
Sword Art Online,TV-14,24 min,"Animation, Action, Adventure",7.6,"In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.","['Yoshitsugu Matsuoka, ', 'Haruka Tomatsu, ', 'Bryce Papenbrook, ', 'Cherami Leigh']",45397,2012
Sword Art Online Alternative: Gun Gale Online,TV-14,24 min,"Animation, Action, Adventure",6.8,"A university student tries out a VR battle royale shooter and quickly establishes herself as one of the most menacing players in the competitive scene thanks to her tiny, lightning-fast avatar LLENN.","['Tomori Kusunoki, ', 'Yôko Hikasa, ', 'Kazuyuki Okitsu, ', 'Kira Buckland']",2395,2018
Talking Tom and Friends,TV-G,11 min,"Animation, Short, Adventure",5.8,"Armed with tech gear, awesome ideas, and an unfailing sense of humor, Talking Tom and Friends are on a mission to make their dreams come true. Although things never entirely turn out the way they plan, this incredible group is destined to warm hearts - and break a funny bone or two - along the way.","['Tom Kenny, ', 'Colin Hanks, ', 'James Adomian, ', 'Lisa Schwartz']",475,2014
Tamborine,TV-MA,98 min,Comedy,6.6,"Chris Rock takes the stage in Brooklyn for a comedy special filled with searing observations on fatherhood, infidelity and American politics.","['Bo Burnham', '| ', '    Stars:', 'Chris Rock, ', 'Spike Lee']",7036,2018
Tarzan and Jane,TV-Y7,22 min,"Animation, Action, Adventure",4.6,"Saved from a plane crash and given supernatural powers, teen Tarzan joins forces with brave city girl Jane to protect his jungle home from threats.","['Giles Panton, ', 'Eden Gamliel, ', 'Marci T. House, ', 'Sam Vincent']",287,2018
